record_id,routedataid,countrynum,statenum,route,rpid,year,aou,count10,count20,count30,count40,count50,stoptotal,speciestotal
5445225,6174482,124,4,1,101,1972,30,0,0,0,2,0,1,2
5445226,6174482,124,4,1,101,1972,40,0,0,0,0,1,1,1
5445227,6174482,124,4,1,101,1972,540,5,16,1,5,3,14,30
5445228,6174482,124,4,1,101,1972,700,0,2,0,0,0,1,2
5445229,6174482,124,4,1,101,1972,1320,8,3,0,32,5,11,48
5445230,6174482,124,4,1,101,1972,1370,3,0,0,0,2,3,5
5445231,6174482,124,4,1,101,1972,1400,1,2,0,2,2,4,7
5445232,6174482,124,4,1,101,1972,1420,2,1,0,8,3,7,14
5445233,6174482,124,4,1,101,1972,1430,1,0,0,15,0,3,16
5445234,6174482,124,4,1,101,1972,1470,0,0,0,1,0,1,1
5445235,6174482,124,4,1,101,1972,1490,0,0,0,0,1,1,1
5445236,6174482,124,4,1,101,1972,1940,0,1,0,0,0,1,1
5445237,6174482,124,4,1,101,1972,2210,0,0,0,1,0,1,1
5445238,6174482,124,4,1,101,1972,2240,0,0,0,5,0,1,5
5445239,6174482,124,4,1,101,1972,2490,0,0,1,1,0,2,2
5445240,6174482,124,4,1,101,1972,2580,2,1,1,1,1,6,6
5445241,6174482,124,4,1,101,1972,2630,1,0,0,0,0,1,1
5445242,6174482,124,4,1,101,1972,2640,0,2,5,0,0,6,7
5445243,6174482,124,4,1,101,1972,2730,1,0,0,2,0,2,3
5445244,6174482,124,4,1,101,1972,3091,9,10,1,0,0,15,20
5445245,6174482,124,4,1,101,1972,3160,0,1,3,2,0,4,6
5445246,6174482,124,4,1,101,1972,3310,1,0,0,2,0,3,3
5445247,6174482,124,4,1,101,1972,3370,1,0,0,0,0,1,1
5445248,6174482,124,4,1,101,1972,3420,0,1,0,1,0,2,2
5445249,6174482,124,4,1,101,1972,4440,2,5,1,0,0,5,8
5445250,6174482,124,4,1,101,1972,4470,0,3,1,0,2,4,6
5445251,6174482,124,4,1,101,1972,4740,1,3,18,15,12,25,49
5445252,6174482,124,4,1,101,1972,4750,0,4,0,0,0,1,4
5445253,6174482,124,4,1,101,1972,4880,0,0,0,2,0,2,2
5445254,6174482,124,4,1,101,1972,4930,1,11,2,7,3,7,24
5445255,6174482,124,4,1,101,1972,4950,1,8,6,7,3,17,25
5445256,6174482,124,4,1,101,1972,4980,18,20,8,7,7,27,60
5445257,6174482,124,4,1,101,1972,5011,21,21,24,20,12,46,98
5445258,6174482,124,4,1,101,1972,5070,1,0,0,0,0,1,1
5445259,6174482,124,4,1,101,1972,5100,0,0,9,2,0,4,11
5445260,6174482,124,4,1,101,1972,5110,0,3,0,0,0,1,3
5445261,6174482,124,4,1,101,1972,5380,6,1,9,11,4,21,31
5445262,6174482,124,4,1,101,1972,5400,4,9,9,5,0,20,27
5445263,6174482,124,4,1,101,1972,5420,16,8,8,2,4,20,38
5445264,6174482,124,4,1,101,1972,5610,4,3,2,0,1,9,10
5445265,6174482,124,4,1,101,1972,6050,7,20,3,16,9,20,55
5445266,6174482,124,4,1,101,1972,6120,0,203,0,0,0,3,203
5445267,6174482,124,4,1,101,1972,6160,0,0,1,0,0,1,1
5445268,6174482,124,4,1,101,1972,6520,1,5,0,0,0,3,6
5445269,6174482,124,4,1,101,1972,6882,12,15,3,0,0,8,30
5445270,6174482,124,4,1,101,1972,7000,0,0,1,0,0,1,1
5445271,6174482,124,4,1,101,1972,7210,0,2,0,0,0,1,2
5445272,6178138,124,4,1,101,1973,30,0,0,0,2,0,1,2
5445273,6178138,124,4,1,101,1973,540,14,40,7,3,5,22,69
5445274,6178138,124,4,1,101,1973,700,2,2,0,0,0,2,4
5445275,6178138,124,4,1,101,1973,770,0,0,0,1,0,1,1
5445276,6178138,124,4,1,101,1973,1320,5,9,9,10,6,13,39
5445277,6178138,124,4,1,101,1973,1350,0,5,2,0,0,4,7
5445278,6178138,124,4,1,101,1973,1370,2,7,0,2,0,4,11
5445279,6178138,124,4,1,101,1973,1420,0,0,1,2,0,2,3
5445280,6178138,124,4,1,101,1973,1430,0,4,1,0,0,2,5
5445281,6178138,124,4,1,101,1973,1490,0,0,1,5,0,3,6
5445282,6178138,124,4,1,101,1973,1720,0,0,20,0,0,1,20
5445283,6178138,124,4,1,101,1973,2020,0,8,0,0,0,1,8
5445284,6178138,124,4,1,101,1973,2490,0,3,0,0,0,2,3
5445285,6178138,124,4,1,101,1973,2580,0,0,0,1,0,1,1
5445286,6178138,124,4,1,101,1973,2640,0,0,3,0,0,2,3
5445287,6178138,124,4,1,101,1973,2730,1,0,1,0,0,2,2
5445288,6178138,124,4,1,101,1973,3090,0,0,1,0,1,2,2
5445289,6178138,124,4,1,101,1973,3091,1,1,0,0,0,2,2
5445290,6178138,124,4,1,101,1973,3160,0,3,0,1,0,3,4
5445291,6178138,124,4,1,101,1973,3420,0,0,1,0,0,1,1
5445292,6178138,124,4,1,101,1973,4440,1,0,1,4,0,5,6
5445293,6178138,124,4,1,101,1973,4740,5,5,17,16,7,28,50
5445294,6178138,124,4,1,101,1973,4750,0,3,2,0,0,4,5
5445295,6178138,124,4,1,101,1973,4880,0,0,1,1,1,3,3
5445296,6178138,124,4,1,101,1973,4930,0,0,0,10,0,1,10
5445297,6178138,124,4,1,101,1973,4950,5,1,3,0,0,6,9
5445298,6178138,124,4,1,101,1973,4980,18,18,3,6,9,20,54
5445299,6178138,124,4,1,101,1973,5011,12,13,13,9,5,34,52
5445300,6178138,124,4,1,101,1973,5100,2,1,9,0,1,5,13
5445301,6178138,124,4,1,101,1973,5380,4,3,10,14,0,17,31
5445302,6178138,124,4,1,101,1973,5400,2,6,2,3,3,14,16
5445303,6178138,124,4,1,101,1973,5420,7,6,0,4,0,16,17
5445304,6178138,124,4,1,101,1973,5610,3,3,0,1,0,7,7
5445305,6178138,124,4,1,101,1973,6050,2,2,1,5,2,11,12
5445306,6178138,124,4,1,101,1973,6120,0,50,0,0,0,1,50
5445307,6178138,124,4,1,101,1973,6130,1,2,1,1,4,8,9
5445308,6178138,124,4,1,101,1973,6160,0,0,2,0,0,1,2
5445309,6178138,124,4,1,101,1973,6520,1,2,0,0,0,2,3
5445310,6178138,124,4,1,101,1973,6810,0,2,0,0,0,1,2
5445311,6178138,124,4,1,101,1973,6882,4,20,1,2,2,6,29
5445312,6178138,124,4,1,101,1973,7610,0,1,0,1,0,2,2
5445313,6179521,124,4,1,101,1974,540,18,4,3,2,2,14,29
5445314,6179521,124,4,1,101,1974,1320,0,3,0,4,13,5,20
5445315,6179521,124,4,1,101,1974,1370,0,0,0,1,8,2,9
5445316,6179521,124,4,1,101,1974,1400,0,0,0,3,6,2,9
5445317,6179521,124,4,1,101,1974,1420,0,0,0,1,5,2,6
5445318,6179521,124,4,1,101,1974,1430,1,3,0,1,6,7,11
5445319,6179521,124,4,1,101,1974,1490,0,2,0,0,9,2,11
5445320,6179521,124,4,1,101,1974,1720,0,2,1,0,0,3,3
5445321,6179521,124,4,1,101,1974,2240,0,0,0,0,9,1,9
5445322,6179521,124,4,1,101,1974,2250,0,0,0,0,1,1,1
5445323,6179521,124,4,1,101,1974,2490,0,1,3,2,1,7,7
5445324,6179521,124,4,1,101,1974,2580,1,0,1,2,2,5,6
